ID,Name,Origin,Description,Attack,Magical Force,Magical Defence,Defence,Intelligence,Health,Experience
705,Shishi,Chinese,Protective animal,24,25,29,11,23,16,12
706,Shōkera,Japanese,Creature that peers in through skylights,28,13,12,4,11,10,9
707,Shtriga,Albanian,Evil or dangerous witch,21,8,12,13,26,15,17
708,Shui Gui,Chinese,Drowned ghost,10,19,11,12,21,15,13
709,Shug Monkey,English,Dog/monkey,7,5,11,9,10,7,9
710,Simargl,Slavic,Winged dog,14,15,18,28,9,29,9
711,Singa,Batak,Feline animal,6,9,27,7,14,4,28
712,Sint Holo,Choctaw,Serpentine rain spirit,5,22,30,16,26,11,14
713,Sirrush,Akkadian,Dragon with aquiline hind legs and feline forelegs,11,8,15,18,8,6,17
714,Sjörå,Norse,Freshwater spirit,19,6,28,16,11,28,8
715,Sjövættir,Norse,Sea spirit,5,25,18,11,14,23,23
716,Skogsrå,Scandinavian,Forest spirit,5,28,29,26,11,23,5
717,Skookum,Chinook Jargon,Hairy giant,19,6,18,28,17,30,10
718,Skrzak,Slavic,Flying imp,22,15,29,21,9,16,11
719,Sky Women,Polish,Weather spirit,19,8,22,11,17,26,1
720,Sluagh,Irish and Scottish,Restless ghost,30,22,27,4,3,18,18
721,Soragami,Japanese,Ritual disciplinary demon,3,20,25,4,18,11,20
722,Sorobanbōzu,Japanese,Ghost with an abacus,10,16,7,19,28,10,10
723,Sōtangitsune,Japanese,Fox spirit from Kyoto,30,7,5,18,10,26,16
724,Soucouyant,Trinidad and Tobago,Vampiric hag who takes the form of a fireball at night,15,28,15,11,19,12,29
725,Spectre,Worldwide,Terrifying ghost,24,21,17,22,17,28,17
726,Sphinx,Greek,Winged lion with a woman's head,30,28,28,12,11,25,16
727,Spiriduş,Romanian,Little people,26,24,25,29,28,29,3
728,Spirit,Unknown,Ghosts,21,30,27,13,12,3,29
729,Spriggan,Cornish,Guardians of graveyards and ruins,6,6,19,7,13,15,5
730,Sprite,Medieval folklore,little people; ghosts or elves,26,11,8,20,11,25,0
731,Squonk,American,Ugly and lonely creature capable of evading capture by dissolving itself into a pool of tears,6,3,20,19,16,9,0
732,Strigoi,Romanian,Vampire,6,26,11,7,20,8,25
733,Strix,Roman,Vampiric bird,12,12,26,25,16,26,7
734,Struthopodes,Medieval Bestiaries,Humanoid whose males have enormous feet; and females have tiny feet,3,9,7,6,15,29,11
735,Strzyga,Slavic,Vampiric undead,16,9,11,18,22,14,23
736,Stuhać,Slavic,Malevolent mountain spirit,30,21,20,7,24,10,9
737,Stymphalian Bird,Greek,Metallic bird,12,24,25,24,22,14,22
738,Suangi,New Guinea,Anthropophagous sorcerer,24,3,11,25,24,28,27
739,Sudice,Slavic,Fortune spirit,28,24,18,3,29,8,18
740,Surma,Finnish,Hellhound,23,20,21,6,4,10,22
741,Suzaku,Japanese,Japanese version of the Chinese Vermillion Bird,28,28,19,21,27,25,23
742,Svaðilfari,Norse,Unnatural strong horse; father of Sleipnir,5,21,12,20,15,19,3
743,Svartálfar,Norse,Cavern spirits; the Black Elves,14,13,6,21,3,24,5
744,Sylph,Alchemy,Air elemental,19,18,5,21,14,7,3
745,Sylvan,Medieval folklore,Forest spirit,16,16,19,26,11,30,20
746,Syrbotae,Medieval Bestiaries,African giant,16,30,23,9,24,8,2
747,Syrictæ,Medieval Bestiaries,Reptilian humanoid,29,8,18,18,29,26,1
748,Tachash,Jewish,Large land animal,10,4,24,27,27,18,4
749,Taimatsumaru,Japanese,Tengu surrounded in demon fire,8,12,10,26,29,14,8
750,Takam,Persian,Nature spirit,20,3,4,28,29,23,20
751,Talos,Greek,Winged giant made of bronze,19,5,29,8,18,24,26
752,Tangie,Scottish,Shapeshifting water spirit,11,28,27,23,13,8,17
753,Taniwha,Māori,Water spirit,7,14,14,30,20,29,16
754,Tantankororin,Japanese,Unharvested persimmon which becomes a monster,26,27,20,30,3,10,16
755,Tanuki,Japanese,Shapeshifting raccoon dog,30,3,12,22,17,14,8
756,Taotao Mona,Mariana Islands,Ancestral spirits,15,13,11,7,28,9,13
757,Taotie,Chinese,Greed spirit,10,19,24,15,15,24,20
758,Tapairu,Mangaia,Nature spirit,28,13,16,6,8,24,4
759,Tarasque,French,Dragon with leonine; turtle; bear; and human attributes,26,4,5,21,22,4,2
760,Tartaruchi,Christian,Demonic punisher,17,26,14,4,14,13,17
761,Tatsu,Unknown,Japanese dragon,30,13,9,13,17,9,17
762,Teju Jagua,Guaraní,Lizard with seven dog heads,16,24,11,14,4,3,30
763,Tecumbalam,Mayan,Bird,26,8,15,28,30,30,8
764,Tengu,Japanese,Anthropomorphic bird,11,30,21,10,5,11,11
765,Tennin,Japanese,Angelic humanoid,26,20,10,4,16,17,8
766,Tepegoz,Azerbaijani,Azerbaijani mythical creature similar to the cyclops Polyphemus,11,12,29,20,17,18,23
767,Teumessian Fox,Greek,Gigantic fox,23,27,6,9,10,29,19
768,Thunderbird,Native American,Avian lightning spirit; bird,8,22,18,28,3,13,7
769,Tiangou,Chinese,Meteoric dog,27,3,26,26,29,16,1
770,Tianlong,Chinese,Celestial dragon,12,20,4,5,13,19,24
771,Tibicena,Canarian,Evil Dog,28,25,11,7,23,24,26
772,Tiddy Mun,English,Bog spirit,18,3,26,21,9,27,21
773,Tigmamanukan,Philippine,Asian fairy bluebird believed in as part of Philippine mythology,22,16,21,19,12,7,6
774,Tigris,Jewish,Giant lion,7,28,4,16,14,13,20
775,Tikbalang,Philippine,Anthropomorphic horse,22,7,22,7,23,13,15
776,Tikoloshe,Zulu,Little people and water spirit,18,21,9,5,8,22,29
777,Timingila,Hindu,Sea monster,22,8,17,8,13,26,18
778,Tipua,Māori,Spirit that protects a specific place,10,16,9,6,25,15,0
779,Titan,Greek,Giant,13,4,28,22,15,23,5
780,Tiyanak,Philippine,Demons that are formerly souls of dead unbaptized babies,16,11,5,11,3,15,30
781,Tizheruk,Inuit,Sea serpent,17,30,23,21,21,25,0
782,Tlahuelpuchi,Tlaxcalan,Shapeshifting vampire,24,18,27,28,28,7,2
783,Tomte,Scandinavian,House spirit,8,23,21,30,6,29,11
784,Topielec,Slavic,Water spirit,25,3,28,19,23,16,1
785,Tōtetsu,Japanese,Greed spirit,23,12,14,7,13,16,12
786,Toyol,Malay,Servant spirit,20,10,26,4,29,18,19
787,Trasgo,Spanish and Portuguese,Grotesque; mischievous little people,15,22,10,27,24,4,23
788,Trauco,Chilota,Fertility spirit,26,15,6,27,16,28,9
789,Trenti,Cantabrian,Diminutive demon,20,3,30,13,3,26,22
790,Trickster,Unknown,A character in a story which exhibits a great degree of intellect or secret knowledge; and uses it to play tricks or otherwise disobey normal rules and conventional behaviour,5,4,18,4,28,7,22
791,Tripurasura,Hindu,Demonic inhabitants of Tripura,3,24,17,6,4,6,14
792,Troll,Norse,Nature spirit,16,23,5,24,6,7,14
793,Trow,Orkney and Shetland,Little people and nature spirits,14,21,24,3,25,8,26
794,Tsuchigumo,Japanese,Shapeshifting; giant spider,23,29,6,24,13,25,21
795,Tsukumogami,Japanese,Inanimate object that becomes animated after existing for 100 years,29,22,27,25,21,17,26
796,Tsul 'Kalu,Cherokee,Giant nature spirit,5,30,8,24,14,8,2
797,Tugarin Zmeyevich,Slavic,Evil shapeshifter,13,14,11,4,5,13,6
798,Tylwyth Teg,Welsh,Nature spirit,7,6,10,27,29,19,14
799,Tupilaq,Inuit,Animated construct,6,14,6,6,30,10,18
800,Turehu,Māori,Pale spirit,22,5,26,21,23,22,5
801,Turul,Hungarian,Giant falcon that helped shape the origins of the Magyars,26,25,9,15,21,18,18
802,Tzitzimitl,Aztec,Skeletal star spirit,27,29,4,25,23,12,12
803,Ubume,Japanese,Ghosts of women who died in childbirth,27,8,6,19,13,17,6
804,Umibōzu,Japanese,Ghost of drowned priest,5,21,11,25,21,28,10
805,Undead,Worldwide,Dead that behave as if alive,26,28,14,16,24,13,24
806,Underwater panther,Native American,Feline water spirit,21,13,15,11,7,20,14
807,Undine,Alchemy,Water elemental,12,22,30,9,3,4,4
808,Unhcegila,Lakota,Dragon,9,22,11,15,25,13,24
809,Unicorn,Medieval Bestiaries,Horse with magical healing horn.,3,12,12,24,9,30,16
810,Unktehi,Lakota,Serpentine rain spirit,27,19,13,23,23,9,4
811,Unktehila,Lakota,Reptilian water monster,13,3,24,18,9,6,23
812,Upinis,Lithuanian,River spirit,6,11,18,5,7,26,16
813,Urayuli,Native American,Hairy giant,21,10,25,10,24,25,23
814,Uriaş,Romanian,Giant,21,17,16,28,20,18,17
815,Utukku,Akkadian,″Underworld messenger spirit″,17,14,5,17,9,20,18
816,Uwan,Japanese,Spirit that shouts to surprise people,16,11,29,30,22,17,8
817,Vadātājs,Latvian,Spirit that misleads people,15,25,9,17,12,27,2
818,Vættir,Norse,Nature spirit,24,21,15,20,4,18,13
819,Valkyrie,Norse,Female spirit that leads souls of dead warriors to Valhalla,28,15,5,29,19,19,11
820,Vâlvă,Romanian,Female nature spirit,12,4,10,3,5,24,1
821,Valravn,Danish,Supernatural raven,24,14,8,10,7,7,6
822,Vampire,Slavic,Reanimated corpse that subsists on blood,21,8,21,18,18,13,20
823,Vântoase,Romanian,Female weather spirit,3,4,18,3,12,30,10
824,Varaha,Hindu mythology,Third Avatar of Vishnu in the form of a boar,17,16,10,11,24,17,7
825,Vârcolac,Romanian,Vampire or werewolf,17,12,30,13,22,22,11
826,Vardøger,Scandinavian,Ghostly double,24,21,11,20,17,7,13
827,Vedrfolnir,Norse,Hawk sitting between the eyes of an eagle in the crown of Yggdrasill; the World Tree,11,11,29,29,17,24,8
828,Veļi,Latvian,Ghost; shade; formed after a death of a human,24,28,12,23,18,10,8
829,Věri Şělen,Chuvash dragon,dragon,8,5,7,10,13,12,7
830,Vetala,Hindu,Corpses possessed by vampiric spirits,14,26,26,3,15,7,2
831,Víbria,Catalan,Dragon with breasts and an eagle's beak,21,14,24,30,7,7,27
832,Vila,Slavic,Weather spirit,15,29,29,11,5,20,9
833,Viruñas,Colombian,Handsome demon,19,19,17,23,19,23,4
834,Vision Serpent,Mayan,Mystical dragon,10,29,20,3,26,20,13
835,Víðópnir;,Norse,Rooster that sits atop the tree,14,18,29,20,6,23,12
836,Vodyanoy,Slavic,Male water spirit,13,11,4,24,25,24,11
837,Waldgeist,German,Forest spirit,3,17,27,7,16,20,26
838,Wanyūdō,Japanese,Demon in the form of a burning ox cart with a human head,18,11,30,17,18,8,9
839,Warg,English and Scandinavian O.N. vargr,Giant; demonic wolf,16,14,22,8,29,21,4
840,Warlock,Worldwide,A man who practices magic,23,7,12,5,29,6,15
841,Water monkey,Chinese,Water spirit,18,23,11,15,26,17,6
842,Water sprite,Alchemy,Water elemental,11,6,28,4,29,14,22
843,Weisse Frauen,German,Female spirit,12,20,28,22,14,15,22
844,Wekufe,Mapuche,Demon,17,28,15,4,15,9,16
845,Wendigo,Algonquian,Anthropophagous spirit,4,27,4,12,11,10,12
846,Wentshukumishiteu,Inuit,Water spirit,11,14,27,11,13,19,15
847,White Lady,Worldwide,Ghost of a murdered or mistreated woman,28,5,25,3,30,14,7
848,Witch,Worldwide,Person who practices magic,6,10,23,13,22,14,26
849,Witte Wieven,Dutch,Female; ancestral spirit,29,27,4,8,12,26,28
850,Wondjina,Australia Aboriginal,Weather spirit,3,13,20,7,5,20,15
851,Wraith,Scottish,Water spirit or ghostly apparition,17,12,16,5,19,6,15
852,Wu Tou Gui,Chinese,Beheaded ghost,5,26,16,22,28,6,2
853,Wyrm,English dragon,dragon,11,25,22,15,11,5,4
854,Wyvern,Germanic Heraldic,Flying reptile; usually with two legs and two wings,11,10,15,11,28,29,30
855,Xana,Asturian,Female water spirit,5,20,19,3,18,15,10
856,Xecotcovach,Mayan,Bird,6,26,30,22,4,23,17
857,Xelhua,Aztec,Giant,15,7,21,8,13,5,12
858,Xing Tian,Chinese,Headless giant,8,12,5,20,10,4,18
859,Xiuhcoatl,Aztec,Drought spirit,5,21,10,3,24,7,2
860,Xindhi,Albanian,Elves,14,30,12,24,13,23,28
861,Yacumama,South America,Sea monster,6,5,10,27,16,19,23
862,Yacuruna,Indigenous people of the Amazon,Mythical water people; with backwards heads and feet,8,9,20,3,22,8,12
863,Yadōkai,Japanese,Malevolent; nocturnal spirit,30,8,13,14,19,12,19
864,Yaksha,Buddhist; Hindu; and Jainism,Male nature spirit,22,20,4,10,6,23,4
865,Yakshi,Keralite,Vampire,23,26,21,17,8,23,11
866,Yakshini,Buddhist; Hindu; and Jainism,Female nature spirit,22,7,27,25,24,19,20
867,Yanari,Japanese,Spirit which causes strange noises,10,12,4,5,11,3,15
868,Yaoguai,Japanese,Animalistic demon,14,12,27,15,12,30,30
869,Yeth hound,English,Headless dog,30,9,8,20,22,5,27
870,Yeti,Himalayan,Mountain Bigfoot,11,8,16,12,26,27,25
871,Yilbegän,Turkic,Either a dragon or a giant,22,6,11,29,9,29,27
872,Yobuko,Japanese,Mountain dwelling spirit,29,18,8,19,26,24,29
873,Yōkai,Japanese,Supernatural Monster,19,3,19,29,12,16,13
874,Yong,Korean dragon,dragon,28,10,15,8,9,8,23
875,Yōsei,Japanese,Fairy,28,23,23,9,28,23,30
876,You Hun Ye Gui,Chinese,Wandering ghost,27,7,11,8,19,23,24
877,Yuan Gui,Chinese,Distressed ghost,6,25,26,23,24,25,15
878,Yukinko,Japanese,Childlike snow spirit,6,30,10,30,13,28,29
879,Yūrei,Japanese,Ghost,23,6,25,20,17,24,13
880,Zahhak,Persian,Dragon,23,22,14,30,20,15,13
881,Žaltys,Baltic,Serpentine fertility spirit,9,9,8,9,11,19,17
882,Zamzum,Jewish,Giant,23,18,14,22,9,16,9
883,Zână,Romanian,Nature spirit,5,19,11,3,23,15,12
884,Zduhać,Slavic mythology,Disembodied; heroic spirit,17,27,6,4,22,14,12
885,Zeus,Greece,God of the sky; lightning; thunder; law; order; justice,13,15,25,21,3,8,9
886,Zhū Què,Chinese,Fire elemental bird,24,8,15,20,15,17,12
887,Žiburinis,Lithuanian,Forest spirit in the form of a glowing skeleton,28,29,12,16,18,10,6
888,Zilant,Tatar,Flying reptile with chicken legs,11,22,6,8,28,22,14
889,Zin,West Africa,Water spirits,20,25,23,29,25,8,12
890,Ziz,Jewish,Giant Bird,17,19,5,11,16,14,9
891,Zlatorog,Slovenia,White deer with golden horns,21,27,29,9,6,13,21
892,Zmeu,Romanian folklore,Giant with a habit of kidnapping young girls,22,14,29,20,11,7,3
893,Zmiy,Slavic,dragon,14,30,16,10,15,4,9
894,Zorigami,Japanese,Animated clock,27,7,3,10,24,13,22
895,Zuijin,Japanese,Tutelary spirit,10,20,18,15,29,28,24
